"","strain","treatment","background","knockout","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","star"
"83","910L2evo","910L2evo","wt","phi910",951222.836589648,1.17906411203392,0.285301746370252,4.13269153461046,3.58539766905253e-05,0.000215123860143152,"16","***"
"84","910L2evo","910L2evo","wt","phi910",1068222.50539505,0.504951532561313,0.217754094688404,2.3189071750126,0.0204000700092381,0.0408001400184763,"17","*"
"85","910L2evo","910L2evo","wt","phi910",114150.183074846,0.58904269956381,0.212863558570786,2.76723128899458,0.00565346302391885,0.0141336575597971,"17.5","*"
"86","910L2evo","910L2evo","wt","phi910",139774.141103449,0.71683518562306,0.218638665301624,3.27862953533012,0.0010431247747625,0.00391171790535939,"18","**"
"87","910L2evo","910L2evo","wt","phi910",174567.909392305,1.10006985380785,0.226316548011992,4.86075748093134,1.16937439616476e-06,2.33874879232952e-05,"18.5","***"
"88","910L2evo","910L2evo","wt","phi910",102127.604035164,0.971896822786476,0.225527475715758,4.30943866019855,1.63669445142256e-05,0.000109112963428171,"18.7","***"
"89","910L2evo","910L2evo","wt","phi910",639031.104086722,0.831330996220641,0.278787175846224,2.98195565738359,0.00286413479627736,0.00859240438883208,"19","**"
"90","910L2evo","910L2evo","wt","phi910",142695.646086136,0.685466685471549,0.286290216208799,2.3943070585815,0.016651801829968,0.0344520037861407,"19.2","*"
"91","910L2evo","910L2evo","wt","phi910",91564.2257269119,0.835291997728126,0.276493227721225,3.02102154404415,0.00251923434514998,0.00795547687942098,"19.3","**"
"92","910L2evo","910L2evo","wt","phi910",184171.996099298,0.0998753920489009,0.595850904092623,0.167618092651875,0.866883736706652,0.896776279351709,"19.5",""
"93","910L2evo","910L2evo","wt","phi910",55248.6002332612,-0.371967416285413,0.255945729253789,-1.45330581357964,0.146138863888909,0.230745574561435,"2",""
"94","910L2evo","910L2evo","wt","phi910",202006.135318987,-0.283899910340745,0.235685904846901,-1.20456889657938,0.228369770026941,0.342554655040411,"2.5",""
"95","910L2evo","910L2evo","wt","phi910",139328.063140746,-0.164963855658779,0.173883679642339,-0.948702350893958,0.342772018031722,0.460448223287677,"2.8",""
"96","910L2evo","910L2evo","wt","phi910",225926.279338926,-0.586355289645854,0.344130793773807,-1.70387335354609,0.0884047501288515,0.147341250214753,"3",""
"97","910L2evo","910L2evo","wt","phi910",278811.985236538,-0.346161590143505,0.17061698201446,-2.02888121719424,0.0424703903120851,0.0772188914765184,"3.5",""
"98","910L2evo","910L2evo","wt","phi910",11414.6486871162,-0.376161597206418,0.32398691468752,-1.16103947460106,0.245625846655111,0.350894066650159,"3.8",""
"99","910L2evo","910L2evo","wt","phi910",9121.84523101783,-0.673293646405407,0.34733961926658,-1.93843031159846,0.0525707453172946,0.0927719035011081,"4.1",""
"100","910L2evo","910L2evo","wt","phi910",39301.6203757782,-1.17437189681226,0.362927653187927,-3.23582919762843,0.00121289936950221,0.00428082130412546,"4.2","**"
"101","910L2evo","910L2evo","wt","phi910",55908.6250428167,-1.50123915150965,0.409990063805531,-3.66164764476274,0.000250598371049602,0.00107399301878401,"4.3","**"
"102","910L2evo","910L2evo","wt","phi910",45644.9484043183,-1.77268986201839,0.626845535497859,-2.82795323828934,0.00468466488956293,0.0122208649292946,"4.5","*"
"103","910L2evo","910L2evo","wt","phi910",21620.9663400244,-0.0472887602806544,0.276962249301467,-0.170740815399653,0.864427567984978,0.896776279351709,"4.7",""
"104","910L2evo","910L2evo","wt","phi910",92826.0482384306,-0.936429904231987,0.364346026867288,-2.57016636707577,0.0101649685871916,0.022642372304073,"4A","*"
"105","910L2evo","910L2evo","wt","phi910",85843.7213784874,-0.955094997676914,0.365393518863098,-2.61388051065777,0.00895203384344391,0.0214848812242654,"4B","*"
"106","910L2evo","910L2evo","wt","phi910",136123.296396053,-0.142821221752068,0.260472248117325,-0.548316462826154,0.583474625255507,0.693617826775027,"5",""
"107","910L2evo","910L2evo","wt","phi910",49464.8299978072,-0.777742846178887,0.229514911979263,-3.38863753763049,0.000702407925629891,0.00280963170251956,"5.3","**"
"108","910L2evo","910L2evo","wt","phi910",51522.7564564856,-0.758595548000805,0.201811262856502,-3.75893563750308,0.000170637722938865,0.000853188614694326,"5.5","***"
"109","910L2evo","910L2evo","wt","phi910",76605.5291063907,-0.853741071330599,0.196503899070524,-4.3446520673068,1.39496583349888e-05,0.000105419026856222,"5.5-5.7","***"
"110","910L2evo","910L2evo","wt","phi910",43772.9157625818,-0.984512053609359,0.197080793166806,-4.99547438281358,5.86913147785731e-07,1.76073944335719e-05,"5.7","***"
"111","910L2evo","910L2evo","wt","phi910",33448.6057453361,-1.19789398384247,0.225675742729834,-5.30803164466159,1.1081540648478e-07,6.64892438908682e-06,"5.9","***"
"112","910L2evo","910L2evo","wt","phi910",168458.726048488,-1.00941346663349,0.211211649742997,-4.77915620592778,1.76032395019295e-06,2.64048592528942e-05,"6","***"
"113","910L2evo","910L2evo","wt","phi910",34654.9656599028,-0.734081928838677,0.285707699972021,-2.56934597461169,0.0101890675368328,0.022642372304073,"6.3","*"
"114","910L2evo","910L2evo","wt","phi910",209486.850134131,0.278277914342877,0.294887703255983,0.943674189429705,0.345336167465757,0.460448223287677,"6.5",""
"115","910L2evo","910L2evo","wt","phi910",230423.347312346,0.142221776941625,0.263641309949167,0.539451791409498,0.589575152758773,0.693617826775027,"6.7",""
"116","910L2evo","910L2evo","wt","phi910",359716.021651466,0.289889994485443,0.272956943355988,1.06203561236166,0.288219518380792,0.402166769833664,"7",""
"117","910L2evo","910L2evo","wt","phi910",309238.719677515,0.290175333209162,0.248236609365635,1.16894657057515,0.242425158652706,0.350894066650159,"7.3",""
"118","910L2evo","910L2evo","wt","phi910",295851.782609228,0.656064955438169,0.269509636300919,2.43429127226325,0.0149209827464854,0.0319735344567544,"7.7","*"
"119","910L2evo","910L2evo","wt","phi910",846424.513454117,0.48953182885882,0.240589480164607,2.03471834480831,0.0418792212596416,0.0772188914765184,"8",""
"120","910L2evo","910L2evo","wt","phi910",571600.056232606,0.668207230435145,0.230547670118377,2.89834735736886,0.00375134863226254,0.0107181389493215,"9","*"
