"strain","treatment","background","knockout","Sample","rep","ref_genome","start","stop","locus_tag","gene","counts"
"T7Hi","wt","wt","wt","PA117","2","T7Hi",6006,6135,"T7p09","1.1",27390
"T7Hi","wt","wt","wt","PA117","2","T7Hi",6448,7588,"T7p10","1.3",206968
"T7Hi","wt","wt","wt","PA117","2","T7Hi",7607,7763,"T7p11","1.4",13754
"T7Hi","wt","wt","wt","PA117","2","T7Hi",7790,7880,"T7p12","1.5",31067
"T7Hi","wt","wt","wt","PA117","2","T7Hi",7905,8166,"T7p13","1.6",72704
"T7Hi","wt","wt","wt","PA117","2","T7Hi",8165,8756,"T7p14","1.7",182094
"T7Hi","wt","wt","wt","PA117","2","T7Hi",8748,8895,"T7p15","1.8",77818
"T7Hi","wt","wt","wt","PA117","2","T7Hi",8897,9092,"T7p16","2",76521
"T7Hi","wt","wt","wt","PA117","2","T7Hi",9157,9856,"T7p17","2.5",344624
"T7Hi","wt","wt","wt","PA117","2","T7Hi",9856,10276,"T7p18","2.8",217295
"T7Hi","wt","wt","wt","PA117","2","T7Hi",10256,10706,"T7p19","3",278861
"T7Hi","wt","wt","wt","PA117","2","T7Hi",10705,11161,"T7p20","3.5",361458
"T7Hi","wt","wt","wt","PA117","2","T7Hi",11224,11590,"T7p21","3.8",17268
"T7Hi","wt","wt","wt","PA117","2","T7Hi",11564,13265,"T7p22","4A",134321
"T7Hi","wt","wt","wt","PA117","2","T7Hi",11634,11757,"T7p23","4.1",13579
"T7Hi","wt","wt","wt","PA117","2","T7Hi",11753,13265,"T7p24","4B",124556
"T7Hi","wt","wt","wt","PA117","2","T7Hi",12987,13326,"T7p25","4.2",50711
"T7Hi","wt","wt","wt","PA117","2","T7Hi",13351,13564,"T7p26","4.3",69517
"T7Hi","wt","wt","wt","PA117","2","T7Hi",13583,13853,"T7p27","4.5",64793
"T7Hi","wt","wt","wt","PA117","2","T7Hi",13926,14334,"T7p28","4.7",30913
"T7Hi","wt","wt","wt","PA117","2","T7Hi",14352,16467,"T7p29","5",187482
"T7Hi","wt","wt","wt","PA117","2","T7Hi",16482,16839,"T7p30","5.3",56152
"T7Hi","wt","wt","wt","PA117","2","T7Hi",16850,17359,"T7p31","5.5-5.7",97700
"T7Hi","wt","wt","wt","PA117","2","T7Hi",16850,17150,"T7p32","5.5",64061
"T7Hi","wt","wt","wt","PA117","2","T7Hi",17149,17359,"T7p33","5.7",55551
"T7Hi","wt","wt","wt","PA117","2","T7Hi",17358,17517,"T7p34","5.9",43728
"T7Hi","wt","wt","wt","PA117","2","T7Hi",17503,18406,"T7p35","6",204124
"T7Hi","wt","wt","wt","PA117","2","T7Hi",18393,18507,"T7p36","6.3",47673
"T7Hi","wt","wt","wt","PA117","2","T7Hi",18604,18859,"T7p37","6.5",177191
"T7Hi","wt","wt","wt","PA117","2","T7Hi",18863,19130,"T7p38","6.7",190883
"T7Hi","wt","wt","wt","PA117","2","T7Hi",19129,19531,"T7p39","7",302579
"T7Hi","wt","wt","wt","PA117","2","T7Hi",19534,19834,"T7p40","7.3",273520
"T7Hi","wt","wt","wt","PA117","2","T7Hi",19847,20240,"T7p41","7.7",317066
"T7Hi","wt","wt","wt","PA117","2","T7Hi",20239,21850,"T7p42","8",971176
"T7Hi","wt","wt","wt","PA117","2","T7Hi",21949,22873,"T7p43","9",1131195
"T7Hi","wt","wt","wt","PA117","2","T7Hi",22966,24162,"T7p44","10B",2956706
"T7Hi","wt","wt","wt","PA117","2","T7Hi",22966,24004,"T7p45","10A",2704152
"T7Hi","wt","wt","wt","PA117","2","T7Hi",24227,24818,"T7p46","11",156852
"T7Hi","wt","wt","wt","PA117","2","T7Hi",24841,27226,"T7p47","12",453700
"T7Hi","wt","wt","wt","PA117","2","T7Hi",27306,27723,"T7p48","13",83166
"T7Hi","wt","wt","wt","PA117","2","T7Hi",27727,28318,"T7p49","14",222946
"T7Hi","wt","wt","wt","PA117","2","T7Hi",28324,30568,"T7p50","15",636680
"T7Hi","wt","wt","wt","PA117","2","T7Hi",30594,34551,"T7p51","16",781659
"T7Hi","wt","wt","wt","PA117","2","T7Hi",34623,36285,"T7p52","17",801359
"T7Hi","wt","wt","wt","PA117","2","T7Hi",36343,36547,"T7p53","17.5",101371
"T7Hi","wt","wt","wt","PA117","2","T7Hi",36552,36822,"T7p54","18",99497
"T7Hi","wt","wt","wt","PA117","2","T7Hi",36916,37348,"T7p55","18.5",124297
"T7Hi","wt","wt","wt","PA117","2","T7Hi",37031,37283,"T7p56","18.7",73147
"T7Hi","wt","wt","wt","PA117","2","T7Hi",37369,39130,"T7p57","19",380065
"T7Hi","wt","wt","wt","PA117","2","T7Hi",38015,38273,"T7p58","19.2",78944
"T7Hi","wt","wt","wt","PA117","2","T7Hi",38552,38726,"T7p59","19.3",57135
"T7Hi","wt","wt","wt","PA117","2","T7Hi",39388,39538,"T7p60","19.5",80675
"T7Hi","wt","wt","wt","PA133","3","T7Hi",890,1468,"T7p01","0.3",5883
"T7Hi","wt","wt","wt","PA133","3","T7Hi",1277,1433,"T7p02","0.4",1
"T7Hi","wt","wt","wt","PA133","3","T7Hi",1468,3138,"T7p03","0.7",9354
"T7Hi","wt","wt","wt","PA133","3","T7Hi",1495,1639,"T7p04","0.5",1
"T7Hi","wt","wt","wt","PA133","3","T7Hi",1635,1972,"T7p05","0.6B",0
"T7Hi","wt","wt","wt","PA133","3","T7Hi",1635,1797,"T7p06","0.6A",0
"T7Hi","wt","wt","wt","PA133","3","T7Hi",3138,5887,"T7p07","1",28072
"T7Hi","wt","wt","wt","PA133","3","T7Hi",5887,6448,"T7p08","1.2",45144
"T7Hi","wt","wt","wt","PA133","3","T7Hi",6006,6135,"T7p09","1.1",10920
"T7Hi","wt","wt","wt","PA133","3","T7Hi",6448,7588,"T7p10","1.3",83733
"T7Hi","wt","wt","wt","PA133","3","T7Hi",7607,7763,"T7p11","1.4",6942
"T7Hi","wt","wt","wt","PA133","3","T7Hi",7790,7880,"T7p12","1.5",10273
"T7Hi","wt","wt","wt","PA133","3","T7Hi",7905,8166,"T7p13","1.6",26743
"T7Hi","wt","wt","wt","PA133","3","T7Hi",8165,8756,"T7p14","1.7",70210
"T7Hi","wt","wt","wt","PA133","3","T7Hi",8748,8895,"T7p15","1.8",26229
"T7Hi","wt","wt","wt","PA133","3","T7Hi",8897,9092,"T7p16","2",26093
"T7Hi","wt","wt","wt","PA133","3","T7Hi",9157,9856,"T7p17","2.5",111009
"T7Hi","wt","wt","wt","PA133","3","T7Hi",9856,10276,"T7p18","2.8",77069
"T7Hi","wt","wt","wt","PA133","3","T7Hi",10256,10706,"T7p19","3",89834
"T7Hi","wt","wt","wt","PA133","3","T7Hi",10705,11161,"T7p20","3.5",132775
"T7Hi","wt","wt","wt","PA133","3","T7Hi",11224,11590,"T7p21","3.8",5846
"T7Hi","wt","wt","wt","PA133","3","T7Hi",11564,13265,"T7p22","4A",56805
"T7Hi","wt","wt","wt","PA133","3","T7Hi",11634,11757,"T7p23","4.1",5466
"T7Hi","wt","wt","wt","PA133","3","T7Hi",11753,13265,"T7p24","4B",52226
"T7Hi","wt","wt","wt","PA133","3","T7Hi",12987,13326,"T7p25","4.2",24241
"T7Hi","wt","wt","wt","PA133","3","T7Hi",13351,13564,"T7p26","4.3",33496
"T7Hi","wt","wt","wt","PA133","3","T7Hi",13583,13853,"T7p27","4.5",33888
"T7Hi","wt","wt","wt","PA133","3","T7Hi",13926,14334,"T7p28","4.7",8909
"T7Hi","wt","wt","wt","PA133","3","T7Hi",14352,16467,"T7p29","5",52812
"T7Hi","wt","wt","wt","PA133","3","T7Hi",16482,16839,"T7p30","5.3",15903
"T7Hi","wt","wt","wt","PA133","3","T7Hi",16850,17359,"T7p31","5.5-5.7",33124
"T7Hi","wt","wt","wt","PA133","3","T7Hi",16850,17150,"T7p32","5.5",23353
"T7Hi","wt","wt","wt","PA133","3","T7Hi",17149,17359,"T7p33","5.7",18192
"T7Hi","wt","wt","wt","PA133","3","T7Hi",17358,17517,"T7p34","5.9",15700
"T7Hi","wt","wt","wt","PA133","3","T7Hi",17503,18406,"T7p35","6",79312
"T7Hi","wt","wt","wt","PA133","3","T7Hi",18393,18507,"T7p36","6.3",16304
"T7Hi","wt","wt","wt","PA133","3","T7Hi",18604,18859,"T7p37","6.5",53531
"T7Hi","wt","wt","wt","PA133","3","T7Hi",18863,19130,"T7p38","6.7",71567
"T7Hi","wt","wt","wt","PA133","3","T7Hi",19129,19531,"T7p39","7",90071
"T7Hi","wt","wt","wt","PA133","3","T7Hi",19534,19834,"T7p40","7.3",89070
"T7Hi","wt","wt","wt","PA133","3","T7Hi",19847,20240,"T7p41","7.7",87024
"T7Hi","wt","wt","wt","PA133","3","T7Hi",20239,21850,"T7p42","8",318781
"T7Hi","wt","wt","wt","PA133","3","T7Hi",21949,22873,"T7p43","9",380721
"T7Hi","wt","wt","wt","PA133","3","T7Hi",22966,24162,"T7p44","10B",1139071
"T7Hi","wt","wt","wt","PA133","3","T7Hi",22966,24004,"T7p45","10A",1018788
"T7Hi","wt","wt","wt","PA133","3","T7Hi",24227,24818,"T7p46","11",45752
"T7Hi","wt","wt","wt","PA133","3","T7Hi",24841,27226,"T7p47","12",141039
"T7Hi","wt","wt","wt","PA133","3","T7Hi",27306,27723,"T7p48","13",26450
"T7Hi","wt","wt","wt","PA133","3","T7Hi",27727,28318,"T7p49","14",76698
"T7Hi","wt","wt","wt","PA133","3","T7Hi",28324,30568,"T7p50","15",215089
"T7Hi","wt","wt","wt","PA133","3","T7Hi",30594,34551,"T7p51","16",243135
"T7Hi","wt","wt","wt","PA133","3","T7Hi",34623,36285,"T7p52","17",295601
"T7Hi","wt","wt","wt","PA133","3","T7Hi",36343,36547,"T7p53","17.5",35181
"T7Hi","wt","wt","wt","PA133","3","T7Hi",36552,36822,"T7p54","18",44493
"T7Hi","wt","wt","wt","PA133","3","T7Hi",36916,37348,"T7p55","18.5",39191
"T7Hi","wt","wt","wt","PA133","3","T7Hi",37031,37283,"T7p56","18.7",27071
"T7Hi","wt","wt","wt","PA133","3","T7Hi",37369,39130,"T7p57","19",145705
"T7Hi","wt","wt","wt","PA133","3","T7Hi",38015,38273,"T7p58","19.2",33640
"T7Hi","wt","wt","wt","PA133","3","T7Hi",38552,38726,"T7p59","19.3",21284
"T7Hi","wt","wt","wt","PA133","3","T7Hi",39388,39538,"T7p60","19.5",38992
"T7Hi","wt","wt","wt","PA139","4","T7Hi",890,1468,"T7p01","0.3",14682
"T7Hi","wt","wt","wt","PA139","4","T7Hi",1277,1433,"T7p02","0.4",0
"T7Hi","wt","wt","wt","PA139","4","T7Hi",1468,3138,"T7p03","0.7",23172
"T7Hi","wt","wt","wt","PA139","4","T7Hi",1495,1639,"T7p04","0.5",1
"T7Hi","wt","wt","wt","PA139","4","T7Hi",1635,1972,"T7p05","0.6B",0
"T7Hi","wt","wt","wt","PA139","4","T7Hi",1635,1797,"T7p06","0.6A",0
"T7Hi","wt","wt","wt","PA139","4","T7Hi",3138,5887,"T7p07","1",108321
"T7Hi","wt","wt","wt","PA139","4","T7Hi",5887,6448,"T7p08","1.2",93180
"T7Hi","wt","wt","wt","PA139","4","T7Hi",6006,6135,"T7p09","1.1",18882
"T7Hi","wt","wt","wt","PA139","4","T7Hi",6448,7588,"T7p10","1.3",239145
"T7Hi","wt","wt","wt","PA139","4","T7Hi",7607,7763,"T7p11","1.4",13241
"T7Hi","wt","wt","wt","PA139","4","T7Hi",7790,7880,"T7p12","1.5",18218
"T7Hi","wt","wt","wt","PA139","4","T7Hi",7905,8166,"T7p13","1.6",43480
"T7Hi","wt","wt","wt","PA139","4","T7Hi",8165,8756,"T7p14","1.7",97035
"T7Hi","wt","wt","wt","PA139","4","T7Hi",8748,8895,"T7p15","1.8",37063
"T7Hi","wt","wt","wt","PA139","4","T7Hi",8897,9092,"T7p16","2",32752
"T7Hi","wt","wt","wt","PA139","4","T7Hi",9157,9856,"T7p17","2.5",150025
"T7Hi","wt","wt","wt","PA139","4","T7Hi",9856,10276,"T7p18","2.8",168868
"T7Hi","wt","wt","wt","PA139","4","T7Hi",10256,10706,"T7p19","3",153912
"T7Hi","wt","wt","wt","PA139","4","T7Hi",10705,11161,"T7p20","3.5",271969
"T7Hi","wt","wt","wt","PA139","4","T7Hi",11224,11590,"T7p21","3.8",6353
"T7Hi","wt","wt","wt","PA139","4","T7Hi",11564,13265,"T7p22","4A",56493
"T7Hi","wt","wt","wt","PA139","4","T7Hi",11634,11757,"T7p23","4.1",5825
"T7Hi","wt","wt","wt","PA139","4","T7Hi",11753,13265,"T7p24","4B",51967
"T7Hi","wt","wt","wt","PA139","4","T7Hi",12987,13326,"T7p25","4.2",18049
"T7Hi","wt","wt","wt","PA139","4","T7Hi",13351,13564,"T7p26","4.3",17891
"T7Hi","wt","wt","wt","PA139","4","T7Hi",13583,13853,"T7p27","4.5",19148
"T7Hi","wt","wt","wt","PA139","4","T7Hi",13926,14334,"T7p28","4.7",18023
"T7Hi","wt","wt","wt","PA139","4","T7Hi",14352,16467,"T7p29","5",130862
"T7Hi","wt","wt","wt","PA139","4","T7Hi",16482,16839,"T7p30","5.3",37633
"T7Hi","wt","wt","wt","PA139","4","T7Hi",16850,17359,"T7p31","5.5-5.7",76966
"T7Hi","wt","wt","wt","PA139","4","T7Hi",16850,17150,"T7p32","5.5",53355
"T7Hi","wt","wt","wt","PA139","4","T7Hi",17149,17359,"T7p33","5.7",44432
"T7Hi","wt","wt","wt","PA139","4","T7Hi",17358,17517,"T7p34","5.9",33408
"T7Hi","wt","wt","wt","PA139","4","T7Hi",17503,18406,"T7p35","6",186482
"T7Hi","wt","wt","wt","PA139","4","T7Hi",18393,18507,"T7p36","6.3",43112
"T7Hi","wt","wt","wt","PA139","4","T7Hi",18604,18859,"T7p37","6.5",341722
"T7Hi","wt","wt","wt","PA139","4","T7Hi",18863,19130,"T7p38","6.7",402610
"T7Hi","wt","wt","wt","PA139","4","T7Hi",19129,19531,"T7p39","7",564950
"T7Hi","wt","wt","wt","PA139","4","T7Hi",19534,19834,"T7p40","7.3",441293
