"","strain","treatment","background","knockout","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","star"
"81","11-44-phi10","deop-10","10deop","phi10",101316.90644541,0.491995491698366,0.165821853566724,2.96701237572643,0.00300708854878165,0.0187984737495366,"18.7","*"
"82","11-44-phi10","deop-10","10deop","phi10",623230.240727202,0.634202639234515,0.214665932577467,2.95437022362945,0.0031330789582561,0.0187984737495366,"19","*"
"83","8st-9","8st-9","8st","phi9",568115.552042353,-2.45473730913283,0.165620387188458,-14.8214682431554,1.06432372134945e-49,6.38594232809671e-48,"9","***"
"84","8st-9","8st-9","8st","phi9",1692334.13769414,-1.73002812038337,0.18006930979888,-9.60756789880321,7.42828011190122e-22,1.48565602238024e-20,"10B","***"
"85","8st-9","8st-9","8st","phi9",840080.564672161,-1.70021764086912,0.17666217668106,-9.62411803596553,6.32471555209843e-22,1.48565602238024e-20,"8","***"
"86","8st-9","8st-9","8st","phi9",1578068.54432222,-1.73271481945383,0.185394504543912,-9.3460959035246,9.09427267517005e-21,1.36414090127551e-19,"10A","***"
"87","8st-9","8st-9","8st","phi9",330420.870820378,-1.32397357735738,0.191870767681845,-6.90034023084102,5.18781382998514e-12,6.22537659598217e-11,"12","***"
"88","8st-9","8st-9","8st","phi9",95744.5727190933,-1.41071696243883,0.22314626071578,-6.32193861512044,2.58301995919638e-10,2.58301995919638e-09,"11","***"
"89","8st-9","8st-9","8st","phi9",41149.6318538543,1.42931134095969,0.256388300629047,5.5747915854697,2.47826381973856e-08,2.12422613120448e-07,"4.2","***"
"90","8st-9","8st-9","8st","phi9",9784.61219766208,1.39232935862134,0.252705609761842,5.50968915938795,3.59467915642428e-08,2.69600936731821e-07,"4.1","***"
"91","8st-9","8st-9","8st","phi9",99075.1536970505,1.43233231072736,0.262701273208233,5.45232344417304,4.97159233191046e-08,2.93741443499954e-07,"4A","***"
"92","8st-9","8st-9","8st","phi9",91596.4937597716,1.43734956569644,0.263511740518806,5.45459402631003,4.90848570898471e-08,2.93741443499954e-07,"4B","***"
"93","8st-9","8st-9","8st","phi9",294086.220185084,-1.02258435202249,0.188040837871749,-5.43809718993024,5.38525979749916e-08,2.93741443499954e-07,"7.7","***"
